 State,10-Mar,10-Mar,10-Mar,10-Mar,11-Mar,11-Mar,11-Mar,11-Mar,12-Mar,12-Mar,12-Mar,12-Mar,13-Mar,13-Mar,13-Mar,13-Mar,14-Mar,14-Mar,14-Mar,14-Mar,15-Mar,15-Mar,15-Mar,15-Mar,16-Mar,16-Mar,16-Mar,16-Mar,17-Mar,17-Mar,17-Mar,17-Mar,18-Mar,18-Mar,18-Mar,18-Mar,19-Mar,19-Mar,19-Mar,19-Mar,20-Mar,20-Mar,20-Mar,20-Mar,21-Mar,21-Mar,21-Mar,21-Mar,22-Mar,22-Mar,22-Mar,22-Mar,23-Mar,23-Mar,23-Mar,23-Mar,24-Mar,24-Mar,24-Mar,24-Mar,25-Mar,25-Mar,25-Mar,25-Mar,26-Mar,26-Mar,26-Mar,26-Mar,27-Mar,27-Mar,27-Mar,27-Mar,28-Mar,28-Mar,28-Mar,28-Mar,29-Mar,29-Mar,29-Mar,29-Mar,30-Mar,30-Mar,30-Mar,30-Mar,31-Mar,31-Mar,31-Mar,31-Mar,01-Apr,01-Apr,01-Apr,01-Apr,02-Apr,02-Apr,02-Apr,02-Apr,03-Apr,03-Apr,03-Apr,03-Apr,04-Apr,04-Apr,04-Apr,04-Apr,05-Apr,05-Apr,05-Apr,05-Apr,06-Apr,06-Apr,06-Apr,06-Apr,07-Apr,07-Apr,07-Apr,07-Apr,08-Apr,08-Apr,08-Apr,08-Apr,09-Apr,09-Apr,09-Apr,09-Apr,10-Apr,10-Apr,10-Apr,10-Apr,11-Apr,11-Apr,11-Apr,11-Apr,12-Apr,12-Apr,12-Apr,12-Apr,13-Apr,13-Apr,13-Apr,13-Apr,14-Apr,14-Apr,14-Apr,14-Apr
,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured/Discharged/Migrated,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death
Goa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,6,0,0,0,7,0,0,0,7,0,0,0,7,0,0,0,7,0,0,0,7,0,0,0,7,0,0,0,7,0,1,0,7,0,1,0,7,0,5,0,7,0,5,0,7,0,5,0
Gujarat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,0,18,0,0,1,29,0,0,1,32,1,0,1,37,1,0,1,42,1,0,3,44,1,0,3,44,1,0,3,58,0,1,5,69,0,1,6,73,0,3,6,82,0,5,6,87,0,8,7,95,0,10,8,105,0,14,10,122,0,18,11,144,0,22,12,165,0,25,13,165,0,25,13,179,0,25,16,241,0,26,17,308,0,31,19,432,0,44,22,539,0,47,26,617,0,55,26
Haryana,0,14,0,0,0,14,0,0,0,14,0,0,0,14,0,0,0,14,0,0,0,14,0,0,0,14,0,0,1,14,0,0,3,14,0,0,3,14,0,0,3,14,0,0,3,14,0,0,7,14,0,0,12,14,11,0,14,14,11,0,14,14,11,0,16,14,11,0,19,14,11,0,19,14,12,0,33,0,17,0,36,0,18,0,40,0,21,0,43,0,21,0,43,0,21,0,49,0,24,0,49,0,24,0,59,0,25,1,84,0,25,1,90,0,25,1,147,0,28,3,169,0,29,3,169,0,29,3,177,0,29,3,185,0,29,3,185,0,29,3,199,0,34,3
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,3,0,0,1,3,0,0,1,3,0,0,1,3,0,0,1,3,0,0,1,3,0,0,1,3,0,0,1,3,0,0,1,3,0,0,1,3,0,1,1,6,0,1,1,6,0,1,1,6,0,1,1,13,0,2,1,13,0,2,1,18,0,2,1,18,0,2,1,28,0,6,1,28,0,6,1,32,0,6,1,32,0,13,1,32,0,13,1
Jammu and Kashmir,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,7,0,1,0,13,0,1,0,18,0,1,1,20,0,1,1,31,0,1,2,48,0,2,2,54,0,2,2,62,0,2,2,62,0,2,2,75,0,3,2,75,0,3,2,106,0,4,2,109,0,4,2,116,0,4,2,116,0,4,2,158,0,4,4,184,0,6,4,207,0,6,4,224,0,6,4,245,0,6,4,270,0,16,4
Jharkhand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,3,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,13,0,0,0,13,0,0,1,17,0,0,1,17,0,0,1,19,0,0,2,24,0,0,2
Karnataka,1,0,0,0,4,0,0,0,4,0,0,0,6,0,0,1,6,0,0,1,6,0,0,1,6,0,0,1,11,0,0,1,11,0,0,1,14,0,0,1,15,0,1,1,15,0,1,1,26,0,2,1,33,0,2,1,37,0,3,1,41,0,3,1,55,0,3,2,55,0,3,2,55,0,3,2,76,0,5,3,83,0,5,3,83,0,5,3,101,0,8,3,110,0,9,3,124,0,10,3,128,0,12,3,144,0,12,4,151,0,12,4,175,0,25,4,175,0,25,4,181,0,28,5,197,0,30,6,214,0,37,6,226,0,37,6,247,0,59,6,258,0,65,9
Kerala,9,0,0,0,17,0,0,0,17,0,3,0,19,0,3,0,19,0,3,0,22,0,3,0,23,0,3,0,24,2,3,0,25,2,3,0,25,2,3,0,26,2,3,0,33,7,3,0,45,7,3,0,60,7,3,0,87,8,4,0,101,8,4,0,110,8,6,0,165,8,11,0,168,8,11,0,182,0,15,1,202,0,19,1,234,0,19,1,241,0,23,2,265,0,25,2,286,0,27,2,295,0,41,2,306,0,49,2,314,0,55,2,327,0,58,2,336,0,70,2,345,0,83,2,357,0,96,2,364,0,123,2,374,0,142,2,376,0,179,3,379,0,198,3
Ladakh,2,0,0,0,2,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,4,0,0,0,6,0,0,0,8,0,0,0,8,0,0,0,10,0,0,0,13,0,0,0,13,0,0,0,13,0,0,0,13,0,0,0,13,0,0,0,13,0,0,0,13,0,3,0,13,0,3,0,13,0,3,0,13,0,3,0,13,0,3,0,13,0,3,0,13,0,3,0,14,0,3,0,14,0,3,0,14,0,10,0,14,0,10,0,14,0,10,0,14,0,10,0,14,0,10,0,15,0,10,0,15,0,10,0,15,0,10,0,15,0,10,0,15,0,10,0
Madhya Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,6,0,0,0,7,0,0,0,14,0,0,0,20,0,0,1,30,0,0,2,30,0,0,2,30,0,0,2,47,0,0,3,47,0,0,3,66,0,0,3,99,0,0,6,104,0,0,6,104,0,0,6,165,0,0,9,165,0,0,9,229,0,0,13,229,0,0,13,259,0,0,16,259,0,0,16,443,0,0,33,564,0,0,36,604,0,44,43,730,0,51,50
